Pair Token,Unit Purchased,Price You Purchased,1 SOL Price At Time Of Purchase,Spent On Transaction
SOL/r/snoofi,20,5258600.181062,138.46201970387298,2769.2403940774598
r/snoofi/SOL,4148586.875577,84.164403773,138.46201970387298,11653.573333581848
r/snoofi/SOL,1110013.305485,18.452910787,138.46201970387298,2555.0272969834045
SOL/COCKE,2,4638245.913381,138.46201970387298,276.92403940774597
COCKE/SOL,4638245.913381,0.301600363,138.46201970387298,41.760195404401244
SOL/chuchu,5,9737566.453154,138.46201970387298,692.3100985193649
chuchu/SOL,9737566.453154,1.097609176,138.46201970387298,151.9771833544638
chuchu/SOL,10523898.392732,1.20510588,138.46201970387298,166.8613941018132
SOL/Paws,2,3486085.821651,138.46201970387298,276.92403940774597
Paws/SOL,3486085.821651,0.291680353,138.46201970387298,40.386650784318626
SOL/SORRY,10,59321919.344995,138.46201970387298,1384.6201970387299
Freow/SOL,7774978.217245,1.030640882,138.46201970387298,142.704618111101
SOL/chad,3,2977935.616835,138.46201970387298,415.3860591116189
CHECKMATE/SOL,9370713.643983,0.454654301,138.46201970387298,62.952352783512595
SOL/DEMURE,3,2199424.353457,138.46201970387298,415.3860591116189
DEMURE/SOL,2199424.353457,4.825909843,138.46201970387298,668.2052237705806
SOL/MULL,5,5602819.080644,138.46201970387298,692.3100985193649
SOL/MULL,10,3200641.996024,138.46201970387298,1384.6201970387299
SOL/MULL,10,4523288.992542,138.46201970387298,1384.6201970387299
SOL/MULL,10,7668607.857137,138.46201970387298,1384.6201970387299
MULL/SOL,13326750.06921,2.009837088,138.46201970387298,278.2861024802307
MULL/SOL,7668607.857137,10.548021708,138.46201970387298,1460.500389569976
SOL/RDT,5,3963925.754309,138.46201970387298,692.3100985193649
RDT/SOL,1066079.25072,0.674273966,138.46201970387298,93.36133516610059
RDT/SOL,355359.75024,3.330239958,138.46201970387298,461.11175068322115
RDT/SOL,250842.17664,3.395244289,138.46201970387298,470.1123816429802
RDT/SOL,557427.059199,7.572986855,138.46201970387298,1048.571055134181
RDT/SOL,743236.078933,6.62443724,138.46201970387298,917.23295965195
RDT/SOL,990981.438577,10.481741457,138.46201970387298,1451.3230921500362
SOL/LILLIE,2,9805183.469359,138.46201970387298,276.92403940774597
LILLIE/SOL,9805183.469359,0.985645226,138.46201970387298,136.47442870344034
SOL/SURE,2,1989637.619076,138.46201970387298,276.92403940774597
SURE/SOL,1989637.619076,1.511587248,138.46201970387298,209.29742331669914
SOL/Yeah,10,1056521.459527,138.46201970387298,1384.6201970387299
Yeah/SOL,1056521.459527,9.49000043,138.46201970387298,1314.0046265284232
SOL/APPIE,15,2591815.403188,138.46201970387298,2076.9302955580947
APPIE/SOL,2591815.403188,8.966148548,138.46201970387298,1241.4710369210281
SOL/shleep,1,11518715.401239,138.46201970387298,138.46201970387298
shleep/SOL,11518715.401239,0.466636931,138.46201970387298,64.61149193467682
SOL/Mully,10,6028744.828766,138.46201970387298,1384.6201970387299
Mully/SOL,6028744.828766,3.764411444,138.46201970387298,521.2280115326129
SOL/Bibble,5,5514623.467946,138.46201970387298,692.3100985193649
SOL/Bibble,5,5966561.514103,138.46201970387298,692.3100985193649
Bibble/SOL,11481184.982049,25.881665874,138.46201970387298,3583.627730214845
SOL/DOGTOR,5,6747180.84892,138.46201970387298,692.3100985193649
DOGTOR/SOL,6747180.84892,0.367905848,138.46201970387298,50.9409867749461
SOL/H,3,3034635.345532,138.46201970387298,415.3860591116189
TAPEPE/SOL,6485048.876492,0.579753667,138.46201970387298,80.2738636635466
SOL/‎,10,3537897.16959,138.46201970387298,1384.6201970387299
‎/SOL,3537897.16959,2.373402355,138.46201970387298,328.6260836432285
SOL/PARTY,3,3303021.177979,138.46201970387298,415.3860591116189
PARTY/SOL,3303021.177979,0.268893362,138.46201970387298,37.23151798748465
SOL/TRUST,10,1602420.795561,138.46201970387298,1384.6201970387299
SOL/TRUST,10,955208.935596,138.46201970387298,1384.6201970387299
TRUST/SOL,2557629.731157,4.233097842,138.46201970387298,586.1232768074262
SOL/HAMMER,3,2812380.788138,138.46201970387298,415.3860591116189
HAMMER/SOL,2812380.788138,0.116417004,138.46201970387298,16.11933350171386
SCAT/SOL,175184.365137,1.040775017,138.46201970387298,144.10781091115274
SOL/mousi,5,4393703.335741,138.46201970387298,692.3100985193649
mousi/SOL,4393703.335741,2.318620857,138.46201970387298,321.04092678774487
SOL/hamster,5,3011025.394887,138.46201970387298,692.3100985193649
hamster/SOL,3011025.394887,10.611423288,138.46201970387298,1469.2791003891925
SOL/COOPER,3,5231899.293878,138.46201970387298,415.3860591116189
SOL/COOPER,5,4985341.052918,138.46201970387298,692.3100985193649
COOPER/SOL,5231899.293878,1.139862359,138.46201970387298,157.82764441156115
COOPER/SOL,4985341.052918,0.545588705,138.46201970387298,75.54331402192055
SOL/NINJA,2,3150135.607017,138.46201970387298,276.92403940774597
NINJA/SOL,3150135.607017,0.297476946,138.46201970387298,41.18925875849996
SOL/IC,5,6799380.75185,138.46201970387298,692.3100985193649
SOL/NEWCAR,2,2290240.647102,138.46201970387298,276.92403940774597
NEWCAR/SOL,2290240.647102,0.428956563,138.46201970387298,59.39419207821163
SOL/gdog,5,4690334.300406,138.46201970387298,692.3100985193649
gdog/SOL,4690334.300406,0.1484374,138.46201970387298,20.552942203591677
neo/SOL,675112.613274,2.072718268,138.46201970387298,286.9927576643935
CFSM/SOL,1984067.162579,5.453232582,138.46201970387298,755.0655972186861
SOL/FUKU,10,2801747.820028,138.46201970387298,1384.6201970387299
FUKU/SOL,2801747.820028,5.20684427,138.46201970387298,720.9501739077382
SOL/Spurdo,10,7225843.825625,138.46201970387298,1384.6201970387299
Spurdo/SOL,7225843.825625,2.166648693,138.46201970387298,299.9985540215366
SOL/GOJO,10,3522221.340382,138.46201970387298,1384.6201970387299
