Token Name,Buy or Sell,Timestamp,SOL Balance,Token Balance,Description,Signature,USD Balance
NOBGOB,Buy,Sat  17 Aug 2024 15:43:59 GMT,0.315281104,52083.333333,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 52083.333333 NOBGOB for 0.315281104 SOL,4iANREmkzVirN83ECpargZhoJtpVHo19BKBy5v38mwxQhxzupk8TK4QKjh6rBWDCcfe5fLmB84ZdhTpgLLzD7bH9,43.654458434306825
BOOMER,Sell,Sat  17 Aug 2024 15:43:28 GMT,0.033333333,608585.894393,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 0.033333333 SOL for 608585.894393 BOOMER,5Lv9KWpBpQDmkBrd371uYvuHVeUPEGtBZ1NUEnJTRLyZiKCepnhtvLGrqkKU8o7xj9X9P1Rs3U1sUVTjFB4edspC,4.6154006106417595
USDC,Sell,Sat  17 Aug 2024 15:43:23 GMT,0.0475,6.69058,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 0.0475 SOL for 6.69058 USDC,3zaVjUb298n1XnfytatcAPu7WPgyD25PDGY33iWsCVfSpTdBAnRANWuTm7GFSZxQo3nyyh33UDVB14K4woseFUXx,6.576945935933967
USDC,Buy,Sat  17 Aug 2024 15:42:42 GMT,4.515245821,636.573101,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 636.573101 USDC for 4.515245821 SOL,4wj8c8iHe6NrjWV4u6tDLs3ihJ39GANA3t7jZ6gwPEitMYkCVuBS1bSbTLV4PdgX7r9J8kr8oMawJkQvzLH43fcA,625.1900558351321
HOWIE,Sell,Sat  17 Aug 2024 21:48:17 GMT,0.021325301,104347.398099,DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr swapped 0.021325301 SOL for 104347.398099 HOWIE,PuLQbKg6qNAPdNeCdPdC3i7kj82W6ik45ZbdvGMuMTevu68bfMf7DU8QLtgyuycwMyKA1zvwo2tYa8tCfeWr5DZ,2.9527442472530225
MOTHER,Sell,Sat  17 Aug 2024 15:42:39 GMT,4.348841275,15501.366842,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 4.348841275 SOL for 15501.366842 MOTHER,S3kUpfg7dJw4fqNyiuxj7WJVpZYc4NoJEErwCUYDsANpXv9yywtQbc6EDMQ7k5SqaZoNM2CkEZ5x2qnhVwsv2fa,602.1493463080661
0xMUSK,Sell,Sat  17 Aug 2024 21:47:42 GMT,0.034394043,1470360.739193,DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr swapped 0.034394043 SOL for 1470360.739193 0xMUSK,3xL3KMugoKYQpsBvuh1dixRXKdRPbWwN1MV55148RbT8ksq6XbmpfB1y5M9322csXXWmdojntvJG2sxLAUE4fmnf,4.762268659561855
Bazinga,Buy,Sat  17 Aug 2024 15:42:31 GMT,0.175810781,5119.562205,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 5119.562205 Bazinga for 0.175810781 SOL,5uYoFgySD7i8DeXuq92shUowAMCbWkepPyi7Ut85s4bLAsPhRi3zPxkwH6vaZA3oSzA9EW6KSCgmtGtjdCNfTykN,24.343115822975296
Klewi,Sell,Sat  17 Aug 2024 21:47:42 GMT,0.058333333,398988.141622,DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr swapped 0.058333333 SOL for 398988.141622 Klewi,3iW71P1kopj7qsqqg1qwM2sv6WPGb9iChvsF3vULMRvXghyebW8BjcDKsCxQ7KjCR2gjkWQxXDN9ktGfkvN89Mxr,8.076951103238585
MONGY,Sell,Sat  17 Aug 2024 15:42:26 GMT,1,37131.42538,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb swapped 1 SOL for 37131.42538 MONGY,5TwHR4JwssJKTd6SRpj1p9rBCETeadnWQZJHrvGxSsxo3pe1A6RxouvrZsfp2hSxCVPfQj6zDSyXtV6nVj13DbHW,138.46201970387298
